name,rating,numberofbik,price,WatchthisMonth,Kosher,Address,asian restaurant,italian restaurant,gril restaurant,mediterranean restaurant,sea food,coffe,delivery,burger shop,online order,City,Street
Jems Beer Factory,8.6,3538,מחיר סביר,767,כשר,"הרקיע 1, קיסריה",0,0,0,0,0,0,1,0,1,קיסריה,הרקיע 1
נונו מימי,0,1,סביר,0,לא כשר,"סוקולוב 46, הוד השרון",0,1,0,0,0,0,1,0,1,הוד השרון,סוקולוב 46
מול הים,8.6,1467,מחיר סביר,1323,לא כשר,"קניון עין התכלת, אזור ים המלח",0,0,1,0,0,0,0,0,1,אזור ים המלח,קניון עין התכלת
קזה ג'וליה,0,32,0,0,כשר,"הרב קוק 1, נתניה",0,1,0,0,0,0,1,0,0,נתניה,הרב קוק 1
מעיונה,0,6,סביר,0,לא כשר,עמיר,0,0,0,0,0,1,0,0,0,עמיר,
פילאף פוד בר,8.2,4857,מחיר סביר,284,כשר,"חרש 3, הרצליה",0,0,1,0,0,0,1,0,1,הרצליה,חרש 3
הקבב העירקי שיפודי דודי,7.8,495,מחיר זול,200,כשר,"השיחרור 16, טירת כרמל",0,0,1,0,0,0,0,0,0,טירת כרמל,השיחרור 16
ביגה,7.5,746,מחיר סביר,210,כשר,"קניון חיפה, חיפה",0,1,0,0,0,1,0,0,0,חיפה,קניון חיפה
ג'פניקה,7.8,4301,מחיר סביר,417,לא כשר,"ביג קריות, חיפה",1,0,0,0,0,0,1,0,1,חיפה,ביג קריות
ג'פניקה,7.7,521,מחיר סביר,395,כשר,"קניון עזריאלי מודיעין, מודיעין מכבים רעות",1,1,0,0,0,0,1,0,1,מודיעין מכבים רעות,קניון עזריאלי מודיעין
Sushi House,7.6,316,ציון העסק 7.6,345,לא כשר,"קניון פרץ סנטר, דימונה",1,0,0,0,0,0,1,0,0,דימונה,קניון פרץ סנטר
אובו,0,0,ציון העסק 8.4,0,לא כשר,"המעיין, נוף הגליל",0,1,0,0,0,0,0,0,0,נוף הגליל,המעיין
אנשו,0,100,0,0,לא כשר,"אזור תעשייה צפוני, קרית שמונה",0,1,1,0,0,0,0,0,0,קרית שמונה,אזור תעשייה צפוני
קפה לנדוור,7.8,557,מחיר סביר,121,לא כשר,"עופר גרנד קניון, חיפה",0,0,0,0,0,1,1,0,1,חיפה,עופר גרנד קניון
המקסיקני,8.2,1217,מחיר סביר,1536,כשר,"קק""ל 43, באר שבע",0,0,1,0,0,0,1,0,0,באר שבע,"קק""ל 43"
ג'קי או Jackie o,8.5,841,מחיר סביר,591,לא כשר,"שחם 32, פתח תקווה (בית אמרגד)",0,0,0,0,0,0,0,0,1,פתח תקווה (בית אמרגד),שחם 32
טושה,8.5,147,מחיר סביר,846,כשר,"אחוזה 124, רעננה (מרכז פוזין)",0,0,0,1,0,0,1,1,1,רעננה (מרכז פוזין),אחוזה 124
על גחלים,0,14,מחיר זול,0,לא כשר,"דרך העמק 13, מגדל העמק",0,0,1,0,0,0,0,0,0,מגדל העמק,דרך העמק 13
